as_of_date,ts_code,name,industry,market,exchange,theme,sub_theme,source,confidence,evidence,valid_from,valid_to
20250101,300475.SZ,香农芯创,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300476.SZ,胜宏科技,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300493.SZ,润欣科技,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300502.SZ,新易盛,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备;name:新易盛,20250101,
20250101,300504.SZ,天邑股份,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300543.SZ,朗科智能,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300548.SZ,长芯博创,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300555.SZ,ST路通,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300560.SZ,中富通,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300563.SZ,神宇股份,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300565.SZ,科信技术,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300566.SZ,激智科技,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300570.SZ,太辰光,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300578.SZ,会畅科技,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300582.SZ,英飞特,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300590.SZ,移为通信,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300597.SZ,吉大通信,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300602.SZ,飞荣达,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300603.SZ,立昂技术,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300615.SZ,欣天科技,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300620.SZ,光库科技,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备;name:光库,20250101,
20250101,300627.SZ,华测导航,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300628.SZ,亿联网络,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300629.SZ,新劲刚,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300638.SZ,广和通,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300650.SZ,太龙股份,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300657.SZ,弘信电子,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300679.SZ,电连技术,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300684.SZ,中石科技,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300686.SZ,智动力,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300689.SZ,澄天伟业,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300691.SZ,联合光电,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
